"filename", "language", "Docker", "Markdown", "YAML", "Ini", "Python", "Shell Script", "TOML", "pip requirements", "JSON", "Skill", "comment", "blank", "total"
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-commit\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 15, 65
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\README.md", "Markdown", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 164
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\SECURITY.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 32
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 27, 112
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\scripts\__init__.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 3, 10
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\scripts\__main__.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\scripts\benchmark.py", "Python", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 4, 19, 79
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\scripts\cli.py", "Python", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 10, 21, 74
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\scripts\compress.py", "Python", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 102, 27, 228
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\scripts\detect.py", "Python", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 18, 26, 122
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-compress\scripts\validate.py", "Python", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 16, 57, 190
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-help\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 18, 60
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman-review\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 17, 55
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\caveman\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 17, 67
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\compress\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 27, 112
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\compress\scripts\__init__.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 3, 10
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\compress\scripts\__main__.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\compress\scripts\benchmark.py", "Python", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 4, 19, 79
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\compress\scripts\cli.py", "Python", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 10, 21, 74
"c:\Users\lates\Desktop\microservice-scraper-core\.agents\skills\compress\scripts\compress.py", "Python", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 102, 27, 228
